,geo,text,user,location,Subject,state
756,, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,BurnsBuLinda91,"Texas, USA",Donald Trump,Texas
757,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,wbtegra,"Charleston, SC",Donald Trump,South Carolina
759,,"Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don’t Want Country To ‘Evolve In… ",shrstraker,"Florida, USA",Donald Trump,Florida
764,, 💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍… ,cindy_mcphee,"California, USA",Donald Trump,California
765,," In conjunction with The Lincoln Project, San Antonio Spurs' Gregg Popovich--who has been an outspoken critic of President Do…",kmctee,"Austin, TX",Donald Trump,Texas
769,, Donald Trump is on track to become the worst jobs president in modern American history. ,JoeForMissouri,"St. Louis, MO",Donald Trump,Missouri
771,, Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …,traceygaughran,"Baltimore, MD",Donald Trump,Maryland
781,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,_ericroyer,"California, USA",Donald Trump,California
782,," So much time and energy squandered because we entrusted the White House to the most corrupt, incompetent person imaginable.…",SFinEville,"Oakland, CA",Donald Trump,California
783,, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,SampleATL,"ATL, GA",Donald Trump,Georgia
791,, GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via ,BlancheBullshit,"Los Angeles, CA",Donald Trump,California
803,," A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald…",OMAHAGEMGIRL,"Omaha, NE",Donald Trump,Nebraska
804,,GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via ,BlancheBullshit,"Los Angeles, CA",Donald Trump,California
810,," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…",anorsowrthy,"Snohomish, WA",Donald Trump,Washington
814,, Already cast my vote for Donald Trump,Bobbyda61728236,"Yuma, AZ",Donald Trump,Arizona
818,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",SPQ_ESQ,"Pennsylvania, USA",Donald Trump,Pennsylvania
825,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",JWC0506,"Kentucky, USA",Donald Trump,Kentucky
830,, Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.,GailReeb,"Connecticut, USA",Donald Trump,Connecticut
831,, It’s very on brand with today’s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien…,JoshPainter2154,"Brazos Valley, Texas",Donald Trump,Texas
832,, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,maudlinaly,"Hawaii, USA",Donald Trump,Hawaii
835,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",rogueMrsJ,"California, USA",Donald Trump,California
836,, Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…,XrstnSaintPhoto,"Brooklyn, New York",Donald Trump,New York
837,, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,marchmatron,"Phoenix, AZ",Donald Trump,Arizona
845,,Lil Wayne Praises Donald Trump Over ‘Platinum Plan’ Meeting ,RadioShawnSC,South Carolina,Donald Trump,South Carolina
847,," Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don’t Want The Country To ‘Evolve Into…",shrstraker,"Florida, USA",Donald Trump,Florida
851,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",adorbdeplorb,"Phoenix, AZ",Donald Trump,Arizona
855,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",amyglumpkin,"Daphne, AL",Donald Trump,Alabama
860,, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…,Charleysgirl_23,"Louisiana, USA",Donald Trump,Louisiana
864,, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…,martfluck,"Vermont, USA",Donald Trump,Vermont
865,,"Oof, y’all really hurt behind this Lil Wayne &amp; Donald Trump situation huh? I’m gonna let y’all figure out what’s wrong with yourself..",ZeroSkillZack,"Celina, OH",Donald Trump,Ohio
881,, Donald Trump is talking about China again.A reminder.#TrumpMadeInChina ,evabai,"Connecticut, USA",Donald Trump,Connecticut
882,, Unraveling Lindsey Graham takes bizarre shot at Donald Trump ,annita_bowman,"Oregon, USA",Donald Trump,Oregon
885,,"Wait until people like LIL John and LIL Wayne get pushed by the left to get ""WOKE"" and denounce Donald trump, becau… ",BrianTr03923678,"Oregon, United States, Oregon,",Donald Trump,Oregon
891,, There is no democracy under Donald J. Trump,sweeterthanhon,North Carolina,Donald Trump,North Carolina
901,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",kat_pep_,GA,Donald Trump,Georgia
908,, Fox News just cut off Donald Trump and aired Joe Biden instead ,a2g1215598,NJ,Donald Trump,New Jersey
